//Date; Open; High; Low; Close; Moving Average 14
20.06.2011 0:00:00;12080.38|12067.75
21.06.2011 0:00:00;12190.01|12060.60
22.06.2011 0:00:00;12109.67|12050.68
23.06.2011 0:00:00;12050.00|12043.45
24.06.2011 0:00:00;11934.58|12032.35
27.06.2011 0:00:00;12043.56|12030.40
28.06.2011 0:00:00;12188.69|12040.38
29.06.2011 0:00:00;12261.42|12050.17
30.06.2011 0:00:00;12414.34|12083.21
01.07.2011 0:00:00;12582.77|12128.19
05.07.2011 0:00:00;12569.87|12163.46
06.07.2011 0:00:00;12626.02|12215.51
07.07.2011 0:00:00;12719.49|12269.65
08.07.2011 0:00:00;12657.20|12316.29
11.07.2011 0:00:00;12505.76|12346.67
12.07.2011 0:00:00;12446.88|12365.02
13.07.2011 0:00:00;12491.61|12392.30
14.07.2011 0:00:00;12437.12|12419.95
15.07.2011 0:00:00;12479.73|12458.89
18.07.2011 0:00:00;12385.16|12483.29
19.07.2011 0:00:00;12587.42|12511.77
20.07.2011 0:00:00;12571.91|12533.95
21.07.2011 0:00:00;12724.41|12556.10
22.07.2011 0:00:00;12681.16|12563.12
25.07.2011 0:00:00;12592.80|12564.76
26.07.2011 0:00:00;12501.30|12555.85
27.07.2011 0:00:00;12302.55|12526.07
28.07.2011 0:00:00;12240.11|12496.28
29.07.2011 0:00:00;12143.24|12470.39
01.08.2011 0:00:00;12132.49|12447.93
02.08.2011 0:00:00;11866.62|12403.29
03.08.2011 0:00:00;11896.44|12364.67
04.08.2011 0:00:00;11383.68|12286.38
05.08.2011 0:00:00;11444.61|12219.20
08.08.2011 0:00:00;10809.85|12092.23
09.08.2011 0:00:00;11239.77|11997.07
10.08.2011 0:00:00;10719.94|11853.90
11.08.2011 0:00:00;11143.31|11744.05
12.08.2011 0:00:00;11269.02|11649.50
15.08.2011 0:00:00;11482.90|11576.75
16.08.2011 0:00:00;11405.93|11512.71
17.08.2011 0:00:00;11410.21|11453.43
18.08.2011 0:00:00;10990.58|11371.10
19.08.2011 0:00:00;10817.65|11277.18
22.08.2011 0:00:00;10854.65|11204.90
23.08.2011 0:00:00;11176.76|11153.49
24.08.2011 0:00:00;11320.71|11148.99
25.08.2011 0:00:00;11149.82|11127.94
26.08.2011 0:00:00;11284.54|11161.84
29.08.2011 0:00:00;11539.25|11183.23
30.08.2011 0:00:00;11559.95|11243.23
31.08.2011 0:00:00;11613.53|11276.82
01.09.2011 0:00:00;11493.57|11292.86
02.09.2011 0:00:00;11240.26|11275.53
06.09.2011 0:00:00;11139.30|11256.48
07.09.2011 0:00:00;11414.86|11256.82
08.09.2011 0:00:00;11295.81|11278.62
09.09.2011 0:00:00;10992.13|11291.08
12.09.2011 0:00:00;11061.12|11305.83
13.09.2011 0:00:00;11105.85|11300.76
14.09.2011 0:00:00;11246.73|11295.48
15.09.2011 0:00:00;11433.18|11315.72
16.09.2011 0:00:00;11509.09|11331.76
19.09.2011 0:00:00;11401.01|11321.88
20.09.2011 0:00:00;11408.66|11311.08
21.09.2011 0:00:00;11124.84|11276.17
22.09.2011 0:00:00;10733.83|11221.91
23.09.2011 0:00:00;10771.48|11188.42
26.09.2011 0:00:00;11043.86|11181.60
27.09.2011 0:00:00;11190.69|11165.59
28.09.2011 0:00:00;11010.90|11145.24
29.09.2011 0:00:00;11153.98|11156.80
30.09.2011 0:00:00;10913.38|11146.25
03.10.2011 0:00:00;10655.30|11114.07
04.10.2011 0:00:00;10808.71|11082.78
05.10.2011 0:00:00;10939.95|11047.55
06.10.2011 0:00:00;11123.33|11019.99
07.10.2011 0:00:00;11103.12|10998.72
10.10.2011 0:00:00;11433.18|11000.47
11.10.2011 0:00:00;11416.30|11021.29
12.10.2011 0:00:00;11518.85|11077.36
13.10.2011 0:00:00;11478.13|11127.83
14.10.2011 0:00:00;11644.49|11170.74
17.10.2011 0:00:00;11397.00|11185.47
18.10.2011 0:00:00;11577.05|11225.91
19.10.2011 0:00:00;11504.62|11250.96
20.10.2011 0:00:00;11541.78|11295.84
21.10.2011 0:00:00;11808.79|11378.24
24.10.2011 0:00:00;11913.62|11457.16
25.10.2011 0:00:00;11706.62|11511.92
26.10.2011 0:00:00;11869.04|11565.18
27.10.2011 0:00:00;12208.55|11644.14
28.10.2011 0:00:00;12231.11|11701.14
31.10.2011 0:00:00;11955.01|11739.62
01.11.2011 0:00:00;11657.96|11749.55
02.11.2011 0:00:00;11836.04|11775.12
03.11.2011 0:00:00;12044.47|11803.69
04.11.2011 0:00:00;11983.24|11845.56
07.11.2011 0:00:00;12068.39|11880.66
08.11.2011 0:00:00;12170.18|11928.20
09.11.2011 0:00:00;11780.94|11945.28
10.11.2011 0:00:00;11893.79|11951.35
11.11.2011 0:00:00;12153.68|11968.50
14.11.2011 0:00:00;12078.98|11995.10
15.11.2011 0:00:00;12096.16|12011.32
16.11.2011 0:00:00;11905.59|11989.68
17.11.2011 0:00:00;11770.73|11956.80
18.11.2011 0:00:00;11796.16|11945.45
21.11.2011 0:00:00;11547.31|11937.55
22.11.2011 0:00:00;11493.72|11913.10
23.11.2011 0:00:00;11257.55|11856.89
25.11.2011 0:00:00;11231.78|11803.21
28.11.2011 0:00:00;11523.01|11764.26
29.11.2011 0:00:00;11555.63|11720.36
30.11.2011 0:00:00;12045.68|11739.27
01.12.2011 0:00:00;12020.03|11748.29
02.12.2011 0:00:00;12019.42|11738.70
05.12.2011 0:00:00;12097.83|11740.04
06.12.2011 0:00:00;12150.13|11743.90
07.12.2011 0:00:00;12196.37|11764.67
08.12.2011 0:00:00;11997.70|11780.88
09.12.2011 0:00:00;12184.26|11808.60
12.12.2011 0:00:00;12021.39|11842.46
13.12.2011 0:00:00;11954.94|11875.41
14.12.2011 0:00:00;11823.48|11915.83
15.12.2011 0:00:00;11868.81|11961.33
16.12.2011 0:00:00;11866.39|11985.86
19.12.2011 0:00:00;11766.26|12000.91
20.12.2011 0:00:00;12103.58|12005.04
21.12.2011 0:00:00;12107.74|12011.31
22.12.2011 0:00:00;12169.65|12022.04
23.12.2011 0:00:00;12294.00|12036.05
27.12.2011 0:00:00;12291.35|12046.14
28.12.2011 0:00:00;12151.41|12042.93
29.12.2011 0:00:00;12287.04|12063.59
30.12.2011 0:00:00;12217.56|12065.97
03.01.2012 0:00:00;12397.38|12092.83
04.01.2012 0:00:00;12418.42|12125.93
05.01.2012 0:00:00;12415.70|12168.24
06.01.2012 0:00:00;12359.92|12203.31
09.01.2012 0:00:00;12392.69|12240.91
10.01.2012 0:00:00;12462.47|12290.64
11.01.2012 0:00:00;12449.45|12315.34
12.01.2012 0:00:00;12471.02|12341.29
13.01.2012 0:00:00;12422.06|12359.32
17.01.2012 0:00:00;12482.07|12372.75
18.01.2012 0:00:00;12578.95|12393.30
19.01.2012 0:00:00;12623.98|12427.05
20.01.2012 0:00:00;12720.48|12458.01
23.01.2012 0:00:00;12708.82|12493.10
24.01.2012 0:00:00;12675.75|12512.98
25.01.2012 0:00:00;12756.96|12537.17
26.01.2012 0:00:00;12734.63|12559.95
27.01.2012 0:00:00;12660.46|12581.41
30.01.2012 0:00:00;12653.72|12600.06
31.01.2012 0:00:00;12632.91|12612.23
01.02.2012 0:00:00;12716.46|12631.30
02.02.2012 0:00:00;12705.41|12648.05
